time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.803892,0.5460,-5.3221,0.2327,5.355
1.818292,0.7544,-5.6589,-0.4304,5.725
1.832960,1.1006,-5.2889,-0.5199,5.427
1.849717,1.3075,-4.7301,-0.2072,4.912
1.861592,1.0331,-4.4694,0.5003,4.614
1.876195,0.5714,-4.3756,0.5535,4.447
1.891168,0.1648,-4.2909,0.1411,4.296
1.905537,0.1467,-4.0450,-0.0266,4.048
1.920346,0.1958,-3.4843,0.4383,3.517
1.934358,0.3641,-2.8196,1.2008,3.086
1.948123,0.1617,-2.4506,1.3710,2.813
1.965069,-0.2905,-1.8341,0.3553,1.891
1.977709,-0.4737,-1.5465,-0.1779,1.627
1.992938,-0.8208,-1.4175,-0.2190,1.653
2.006959,-0.4717,-2.0676,-1.3166,2.496
2.020905,-0.3279,-2.5797,-2.9830,3.957
2.036244,-2.1939,-2.0742,-4.3448,5.291
2.050832,-3.1430,-0.6056,-4.1602,5.249
2.065317,-2.5762,1.3438,-1.9815,3.517
2.080262,-2.1014,4.8491,-1.2858,5.439
2.094302,0.9058,11.8309,-2.1830,12.065
2.109176,5.4594,20.8966,-2.5308,21.746
2.123294,3.2604,18.6932,2.3383,19.119
2.138002,1.0794,8.6608,3.2581,9.316
2.152913,0.5489,1.3685,5.1110,5.319
2.166791,1.2659,-1.9127,5.1995,5.683
2.181537,0.3892,-2.0388,2.4475,3.209
2.195971,-0.3025,-1.0581,-0.3395,1.152
2.210703,-0.6907,0.0058,-1.1890,1.375
2.224790,-0.7554,0.0424,0.2994,0.814
2.239818,0.4716,-1.0940,2.0699,2.388
2.253850,0.7458,-2.5478,2.0425,3.350
2.268513,0.0906,-3.5489,1.0086,3.691
2.282841,-0.1949,-4.4068,0.0181,4.411
2.298021,-0.1794,-5.1640,-0.3854,5.182
2.312594,-0.3364,-6.5807,-0.9139,6.652
2.326092,-0.5576,-7.2837,-0.5161,7.323
2.341391,-0.2951,-7.4166,-0.5768,7.445
2.356382,-0.5207,-7.6553,-1.1698,7.762
2.370896,-0.5386,-6.7371,-0.7946,6.805
2.385210,-0.2481,-5.3355,-0.2223,5.346
2.399057,-0.0894,-3.9917,0.4443,4.017
2.413943,-0.6422,-2.8681,0.4946,2.980
2.428639,-1.4550,-1.5182,-0.2948,2.123
2.449452,-1.5140,0.0139,-1.8561,2.395
2.458053,-1.0784,2.3938,-2.3908,3.551
2.472424,0.5621,4.6772,-3.5203,5.881
2.485924,2.6302,8.2084,-4.4257,9.689
2.500360,2.8717,13.0670,-3.1470,13.744
2.515111,-0.3837,18.2125,-1.8833,18.314
2.530236,0.9883,13.3871,1.7201,13.533
2.545917,0.5630,6.4971,2.8974,7.136
2.558671,-1.4051,2.9505,4.2693,5.376
2.573531,-2.3467,2.6764,3.7736,5.188
2.588304,-1.6385,3.2832,1.3595,3.913
2.602117,0.2287,3.3642,-0.2235,3.379
2.616971,1.9786,2.7368,-0.4301,3.404
2.632180,2.9772,1.1523,-0.2708,3.204
2.649182,2.3472,-0.6319,0.5131,2.484
2.660761,1.4448,-2.8137,1.0975,3.348
2.675529,1.4625,-4.4779,1.0219,4.820
2.689963,1.2457,-5.5507,0.4595,5.707
2.704835,1.2939,-5.9395,0.0123,6.079
2.720194,1.2375,-6.4719,-0.3755,6.600
2.733652,0.6553,-6.4921,-0.3196,6.533
2.747704,0.9244,-6.2880,0.1531,6.357
2.763122,0.6360,-5.9084,-0.5479,5.968
2.776769,0.1526,-5.5543,-1.4093,5.732
2.792775,-0.3104,-5.4025,-1.1929,5.541
2.806660,-0.4412,-5.5083,-0.5150,5.550
2.820146,-0.3110,-5.4864,-0.1982,5.499
2.835219,-0.0233,-5.3965,-0.4258,5.413
2.849047,0.4130,-5.1746,-0.3516,5.203
2.865039,0.6620,-4.4944,0.4356,4.564
2.879198,0.7579,-4.0186,0.7199,4.152
2.892429,0.5981,-3.7415,-0.4816,3.819
2.908035,-0.1304,-3.0206,-2.6214,4.002
2.922347,-1.0416,-1.8603,-3.8593,4.409
2.937935,-2.2775,0.0652,-4.6431,5.172
2.952003,-2.3350,2.8420,-4.3736,5.715
2.965996,-2.3531,8.3892,-3.5212,9.398
2.980917,-0.7533,19.7627,-0.9277,19.799
2.995482,1.9133,28.2791,2.8234,28.484
3.009144,-1.7722,18.3504,4.6125,19.004
3.024311,-0.3354,5.6540,4.2143,7.060
3.039153,0.1517,1.2783,4.0517,4.251
3.053543,1.5198,-0.7861,3.1405,3.576
3.067242,0.8687,-0.9250,1.0053,1.619
3.082246,-0.6708,0.0195,0.6319,0.922
3.096973,-1.4042,0.5500,0.0777,1.510
3.111424,-1.5928,0.5652,-0.7584,1.852
3.125206,-0.8156,-0.8453,0.3857,1.236
3.140511,-0.2580,-2.7481,1.4046,3.097
3.155385,-0.1176,-4.3181,1.0409,4.443
3.169821,-0.0874,-5.5235,0.8554,5.590
3.184361,0.5809,-7.1793,0.7558,7.242
3.198982,0.5232,-7.8293,0.8375,7.891
3.212912,0.4644,-8.8562,-0.8442,8.908
3.227701,0.1428,-8.4153,-2.1971,8.699
3.248763,-0.5810,-6.8157,-1.7108,7.051
3.256845,-0.3443,-5.5253,-0.2997,5.544
3.270297,-0.1371,-4.2480,1.2060,4.418
3.285713,0.0010,-2.5791,2.8864,3.871
3.299760,-0.2999,-1.0795,2.4939,2.734
3.315032,-1.2200,-0.0010,-0.0355,1.221
3.329785,-1.3001,0.2737,-2.9706,3.254
3.345592,-0.1487,-0.2686,-3.5318,3.545
3.358171,0.4168,-0.1829,-1.2355,1.317
3.373030,0.1996,1.1274,-1.5645,1.939
3.386958,0.1571,4.3190,-3.1363,5.340
3.401378,0.2759,11.0057,-7.2202,13.166
3.416318,-1.5308,18.5919,-4.7116,19.241
3.432067,2.5987,16.1345,1.5483,16.416
3.448338,1.4246,8.1130,3.2731,8.864
3.461229,-3.7217,3.3366,4.3404,6.620
3.474047,-4.0629,1.4194,5.0907,6.666
3.490032,-3.3436,2.0495,2.8239,4.833
3.504039,-1.2313,2.8156,-0.7255,3.158
3.518247,-0.2117,3.4341,-2.7676,4.416
3.532727,2.6945,1.8889,-2.4391,4.096
3.548986,3.0697,-0.2919,-0.1110,3.086
3.562124,1.9580,-2.4184,1.0049,3.270
3.575746,1.2663,-4.1073,1.0943,4.435
3.591055,1.0818,-5.3553,0.7214,5.511
3.605218,0.9162,-5.9815,-0.0090,6.051
3.619404,0.4882,-6.1500,-0.0051,6.169
3.633876,0.1244,-6.8780,-0.2295,6.883
3.650079,0.2486,-6.9189,0.0626,6.924
3.662766,0.7819,-6.3594,0.0556,6.408
3.677926,0.9503,-5.7322,-0.1873,5.813
3.693242,0.5447,-5.2738,-0.6032,5.336
3.707000,1.4027,-4.9367,-0.4734,5.154
3.721750,1.6597,-4.7198,-0.2017,5.007
3.735554,1.2720,-4.2151,-0.1714,4.406
3.753146,0.4010,-3.9393,-0.5347,3.996
3.765505,-0.3948,-3.3578,-0.1600,3.385
3.779632,-1.0569,-2.4955,0.0369,2.710
3.794651,-1.2789,-1.9967,-0.1591,2.376
3.809248,-1.1612,-1.8209,0.9839,2.373
3.823389,-0.7421,-1.9245,0.2341,2.076
3.838163,-0.7219,-1.7313,-1.5039,2.404
3.852620,-1.0841,-0.6933,-3.0070,3.271
3.866384,-1.7206,1.9356,-3.9951,4.761
3.881274,-1.8780,5.7425,-5.1213,7.920
3.896246,-2.3287,13.1218,-3.9101,13.889
3.910681,0.8120,23.4608,-1.0754,23.500
3.925612,-0.4914,21.7352,2.9949,21.946
3.940104,-2.7764,10.4995,4.9643,11.941
3.954161,-0.8605,2.5759,6.7373,7.264
3.968345,0.7341,-0.7031,5.4492,5.543
3.983513,-0.4104,0.4865,-0.3388,0.721
3.997866,-0.6519,2.1444,-3.1013,3.826
4.012194,0.2395,2.1394,-1.5392,2.646
4.026081,-1.6838,1.2629,1.2256,2.436
4.041102,2.7445,-2.1972,1.6673,3.891
4.056444,0.6051,-3.9802,1.8028,4.411
4.070960,-0.3227,-5.5899,0.9262,5.675
4.084701,-0.4242,-6.4244,0.0625,6.439
4.098903,-0.1415,-7.1017,-0.3126,7.110
4.113868,-0.1231,-8.1434,-0.1220,8.145
4.128373,0.4633,-8.0636,0.4585,8.090
4.146776,-0.2922,-7.5838,-0.3383,7.597
4.157633,-0.0327,-6.4547,-0.8040,6.505
4.172519,-0.1468,-5.0363,-0.0941,5.039
4.186409,0.1615,-4.2478,0.5159,4.282
4.200444,-0.2776,-3.5723,1.0134,3.724
4.216090,-1.1871,-2.8088,1.3484,3.334
4.229343,-2.0349,-1.4261,0.4202,2.520
4.249843,-2.4366,0.1803,-0.6381,2.525
4.258586,-2.1830,1.0082,-1.6144,2.896
4.273932,-1.0831,0.1693,-1.9780,2.261
4.289269,-0.7010,-0.7154,-1.8921,2.141
4.303618,-0.2048,-0.6315,-1.6848,1.811
4.317761,0.3602,1.0346,-4.1116,4.255
4.332749,2.4321,4.9188,-4.3829,7.023
4.349832,3.4915,11.5482,-5.1224,13.107
4.359895,3.5745,17.0985,-0.2350,17.470
4.374969,3.1093,13.0497,5.7054,14.578
4.390107,-1.7281,7.1507,4.3548,8.549
4.404376,-4.0104,4.9084,4.0485,7.521
4.419214,-2.6965,4.5424,4.2761,6.796
4.433436,-2.6473,5.1801,1.1401,5.928
4.448594,-0.8605,4.5618,-1.0092,4.751
4.462140,0.8234,3.0929,-0.6643,3.269
4.476222,2.2219,1.0512,0.2579,2.471
4.493448,3.1437,-1.2379,0.8023,3.473
4.506249,3.6186,-3.3693,1.0131,5.047
4.520504,3.1386,-4.6746,1.1539,5.748
4.535600,2.6415,-5.7169,0.7095,6.337
4.548852,2.0134,-6.7386,-0.6201,7.060
4.563744,1.6256,-6.5830,-0.9143,6.842
4.578473,1.4473,-6.3301,-1.1508,6.595
4.592580,1.0735,-5.8662,-1.2682,6.097
4.608489,0.9676,-5.1916,-1.4896,5.487
4.622967,0.8490,-4.6566,-1.3050,4.910
4.636895,0.6268,-4.4599,-0.4281,4.524
4.653237,0.4676,-4.3125,0.6947,4.393
4.665312,0.8107,-4.2301,1.1927,4.469
4.682352,1.3246,-3.8326,0.7795,4.129
4.695652,1.5386,-3.4166,-0.2837,3.758
4.708810,1.4356,-2.9978,-0.9352,3.453
4.724115,0.9232,-2.8800,-0.3234,3.042
4.739231,-0.1131,-2.9037,1.1479,3.124
4.752664,-0.6918,-2.9209,1.7862,3.493
4.768308,-0.7370,-2.9039,0.4500,3.030
4.781702,-1.0237,-2.7668,-1.7433,3.427
4.796915,-1.7471,-1.8156,-3.6557,4.440
4.811175,-1.7086,0.1187,-4.2557,4.587
4.825785,-1.1180,3.6358,-3.7096,5.313
4.840753,-1.1352,9.2728,-0.7163,9.369
4.855174,-0.5515,16.5332,1.3232,16.595
4.869321,0.4141,17.9487,3.2765,18.250
4.883756,-1.1287,12.8693,3.9262,13.502
4.898916,-3.0233,5.8555,3.7355,7.575
4.913015,-1.4458,1.7096,4.6830,5.191
4.929811,0.2842,-0.0999,3.8649,3.877
4.942098,2.4038,-0.6178,0.7228,2.585
4.956634,4.2190,-0.6951,-0.6573,4.326
4.970764,5.5686,-1.3628,-1.6700,5.971
4.986201,5.1045,-2.4737,-2.0672,6.037
5.002839,3.4438,-3.3884,-1.5940,5.087
5.015081,1.5354,-4.0384,-1.0313,4.442
5.030438,-0.3400,-3.8376,-0.6311,3.904
5.042957,-1.6538,-3.8979,-1.0471,4.362
5.064526,-1.7843,-4.2504,-0.8574,4.689
5.073358,-1.8568,-4.5368,-0.2032,4.906
