time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.800098,-0.0198,0.0075,0.2064,0.207
1.817332,-0.1308,0.0402,0.1478,0.201
1.830220,-0.2081,0.0670,-0.0214,0.220
1.857106,-0.2819,0.1037,-0.1439,0.333
1.864674,-0.0036,-0.0047,-0.0654,0.066
1.878937,0.0766,-0.0683,0.3201,0.336
1.894400,0.1386,-0.1294,0.4324,0.472
1.913599,0.0866,-0.1013,0.3179,0.345
1.922298,-0.0411,-0.0181,0.0742,0.087
1.936098,-0.0870,0.0153,0.0650,0.110
1.952197,-0.0660,0.0249,0.1116,0.132
1.964928,-0.0402,-0.0512,0.1167,0.134
1.980807,-0.0575,-0.0703,0.1264,0.156
1.994332,-0.0848,0.0009,0.0679,0.109
2.014438,-0.0847,0.0158,0.1620,0.184
2.024342,-0.0933,-0.0363,0.1716,0.199
2.037325,-0.0450,-0.0609,0.1010,0.126
2.052971,0.0035,-0.0364,0.1368,0.142
2.068564,0.0374,-0.0022,0.1978,0.201
2.081836,0.0375,0.0498,0.1491,0.162
2.096036,-0.0145,0.0780,0.1154,0.140
2.117003,-0.0656,0.0247,0.0621,0.094
2.126596,-0.0931,-0.0327,0.0033,0.099
2.139100,-0.1203,-0.0758,-0.0125,0.143
2.153755,-0.1473,-0.0758,0.0142,0.166
2.170546,-0.0979,-0.0513,0.0992,0.148
2.183788,-0.0200,-0.0453,0.2002,0.206
2.196218,-0.0382,-0.0542,0.2781,0.286
2.215675,-0.0124,-0.0321,0.1085,0.114
2.227614,-0.0538,0.0236,-0.1438,0.155
2.241333,-0.0921,0.0099,-0.0018,0.093
2.258462,-0.0445,-0.0075,0.1440,0.151
2.270987,0.0031,-0.0500,0.2281,0.234
2.287469,-0.0119,-0.0213,0.2696,0.271
2.302999,-0.0359,-0.0075,0.1790,0.183
2.314834,-0.0355,0.0014,0.0697,0.078
2.330196,-0.0645,0.0146,-0.0172,0.068
2.342230,-0.0600,0.0146,-0.0334,0.070
2.357054,-0.0654,0.0104,0.0252,0.071
2.373410,-0.0190,0.0068,0.1643,0.165
2.388800,-0.0150,0.0217,0.2797,0.281
2.401630,0.0036,-0.0166,0.2491,0.250
2.417592,-0.0307,-0.0549,0.2016,0.211
2.431087,-0.0263,-0.0460,0.1477,0.157
2.444321,-0.0368,-0.0083,0.0933,0.101
2.462884,-0.0433,0.0444,0.0796,0.101
2.474043,-0.0446,0.0539,0.0898,0.114
2.489685,-0.0507,-0.0173,0.1582,0.167
2.504462,0.0011,-0.0646,0.1935,0.204
2.518162,-0.0057,-0.0784,0.2386,0.251
2.531645,-0.0075,-0.0401,0.2222,0.226
2.547446,0.0194,0.0353,0.0946,0.103
2.561199,0.0357,0.0406,0.1670,0.176
2.574683,0.0242,0.0071,0.1827,0.184
2.591328,-0.0195,-0.0546,0.1988,0.207
2.606357,-0.0547,-0.0689,0.2310,0.247
2.621418,-0.0030,-0.0031,0.0679,0.068
2.633617,-0.0046,0.0112,0.1293,0.130
2.649177,-0.0449,-0.0354,0.2196,0.227
2.664164,-0.0309,-0.0361,0.1481,0.156
2.675435,-0.0276,-0.0073,0.1580,0.161
2.692295,-0.0097,0.0262,0.1535,0.156
2.708055,-0.0207,0.0256,0.1292,0.133
2.720724,-0.0412,0.0070,0.1527,0.158
2.735288,-0.0518,-0.0409,0.2015,0.212
2.750028,-0.0476,-0.0834,0.2414,0.260
2.764364,-0.0429,-0.0696,0.1912,0.208
2.780745,-0.0101,-0.0361,0.1268,0.132
2.793314,0.0035,0.0016,0.0996,0.100
2.808950,0.0121,0.0261,0.1541,0.157
2.823040,-0.0026,0.0124,0.2811,0.281
2.836340,0.0545,-0.0206,0.3344,0.339
2.853685,0.0691,-0.0361,0.1691,0.186
2.866386,0.0020,-0.0080,0.1078,0.108
2.880876,-0.0600,0.0010,0.0982,0.115
2.896682,-0.0597,0.0148,0.0304,0.069
2.909337,-0.0116,-0.0223,0.0961,0.099
2.931412,0.0172,-0.0690,0.2143,0.226
2.938337,0.0030,-0.0312,0.1937,0.196
2.954442,-0.0064,0.0155,0.0968,0.098
2.970411,-0.0015,0.0203,0.1138,0.116
2.984633,0.0176,-0.0312,0.1782,0.182
2.996076,0.0076,-0.0497,0.2809,0.285
3.011466,-0.0017,-0.0449,0.2991,0.302
3.029657,-0.0247,-0.0503,0.2330,0.240
3.040258,-0.0292,-0.0275,0.1187,0.125
3.055883,-0.0101,0.0061,0.0712,0.072
3.070851,-0.0053,0.0103,0.0182,0.022
3.084885,-0.0193,0.0151,0.0259,0.036
3.101181,-0.0287,-0.0130,0.0891,0.094
3.114462,-0.0095,-0.0172,0.1753,0.176
3.130068,0.0004,-0.0316,0.1954,0.198
3.143591,-0.0184,-0.0459,0.1818,0.188
3.157283,-0.0420,-0.0555,0.2021,0.214
3.173338,-0.0178,-0.0740,0.1951,0.209
3.188015,-0.0076,-0.0656,0.1034,0.123
3.199330,-0.0117,-0.0464,0.0784,0.092
3.216171,-0.0109,-0.0697,0.1913,0.204
3.230353,-0.0337,-0.0834,0.2183,0.236
3.245284,-0.0421,-0.0415,0.1364,0.149
3.262000,-0.0355,0.0334,-0.0690,0.084
3.275129,-0.0495,0.0526,-0.0465,0.086
3.289732,-0.0297,0.0251,0.0973,0.105
3.304820,-0.0056,0.0113,0.1122,0.113
3.315856,0.0090,0.0113,0.1596,0.160
3.330656,0.0044,0.0023,0.1925,0.193
3.346568,-0.0002,0.0065,0.1727,0.173
3.359678,-0.0291,0.0017,0.1333,0.136
3.374944,-0.0244,0.0059,0.0884,0.092
3.391407,0.0041,-0.0408,0.1639,0.169
3.404050,0.0279,-0.0648,0.1874,0.200
3.420256,0.0134,-0.0743,0.1739,0.190
3.435448,0.0179,-0.0169,0.1514,0.153
3.448120,0.0272,0.0448,0.1182,0.129
3.463334,-0.0065,0.0352,0.1469,0.151
3.476352,0.0025,-0.0169,0.1958,0.197
3.492895,0.0162,-0.0079,0.1055,0.107
3.507811,-0.0422,-0.0228,0.0777,0.091
3.519792,-0.0622,-0.0085,0.1018,0.120
3.534105,-0.0059,0.0065,0.1540,0.154
3.552769,0.0643,-0.0025,0.1773,0.189
3.570892,0.0578,-0.0025,0.1627,0.173
3.579159,0.0415,-0.0265,0.1485,0.156
3.596023,0.0202,-0.0223,0.1095,0.114
3.607399,0.0137,-0.0325,0.0423,0.055
3.622999,0.0259,-0.0367,0.0563,0.072
3.635555,0.0330,-0.0320,0.0695,0.083
3.652305,0.0120,-0.0176,0.1014,0.104
3.665267,0.0151,-0.0075,0.1532,0.154
3.679010,0.0326,-0.0219,0.1822,0.186
3.693985,0.0258,-0.0267,0.1725,0.176
3.708930,0.0193,-0.0075,0.1673,0.169
3.722616,-0.0061,0.0015,0.1393,0.139
3.737994,0.0023,-0.0081,0.0878,0.088
3.753918,-0.0030,-0.0326,0.0369,0.049
3.768205,0.0054,-0.0518,0.0296,0.060
3.782543,-0.0103,-0.0464,0.0592,0.076
3.796254,-0.0170,-0.0075,0.1786,0.180
3.809804,0.0342,0.0027,0.2516,0.254
3.830757,0.0235,0.0303,0.0913,0.099
3.841124,0.0036,0.0010,0.0309,0.031
3.855774,0.0084,-0.0511,0.0704,0.087
3.869558,-0.0205,-0.0936,0.1284,0.160
3.884723,-0.0069,-0.0463,0.1351,0.143
3.898300,0.0164,0.0339,-0.0023,0.038
3.912835,-0.0033,0.0489,0.0795,0.093
3.928583,-0.0371,0.0016,0.1416,0.146
3.940636,0.0058,-0.0361,0.1467,0.151
3.955664,0.0345,-0.0169,0.1708,0.175
3.969483,0.0059,-0.0080,0.1382,0.139
3.986700,-0.0178,0.0058,0.0815,0.084
3.998659,-0.0320,0.0435,0.0391,0.067
4.016447,0.0061,0.0202,0.0622,0.066
4.029289,0.0015,-0.0127,0.1140,0.115
4.042774,-0.0215,-0.0415,0.0938,0.105
4.057837,-0.0212,-0.0319,0.0836,0.092
