time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.804881,0.1053,-0.0328,-0.0311,0.115
1.818915,0.0653,-0.0691,0.0274,0.099
1.831242,0.1114,-0.0566,0.1052,0.163
1.848621,0.1926,-0.0449,0.1639,0.257
1.860774,0.2032,-0.0199,0.1810,0.273
1.875986,0.0900,0.0369,0.0546,0.112
1.892062,0.0243,0.0323,-0.0087,0.041
1.905219,0.0012,-0.0380,-0.0142,0.041
1.921175,-0.0462,-0.0849,0.0576,0.113
1.934844,0.0055,-0.0935,0.1511,0.178
1.946769,0.0554,-0.1091,0.1753,0.214
1.963851,0.0563,-0.0921,0.1395,0.176
1.986182,0.1239,-0.0810,0.0379,0.153
1.991181,0.0921,-0.0328,-0.1407,0.171
2.006296,0.0257,0.0220,-0.1135,0.118
2.030309,0.0303,0.0116,0.0464,0.057
2.046481,0.0818,0.0225,-0.0927,0.126
2.060230,0.0670,0.0622,-0.2152,0.234
2.073821,0.0698,0.0477,-0.1489,0.171
2.089677,0.0681,0.0260,0.0482,0.087
2.103008,0.0855,-0.0441,0.1927,0.215
2.119983,0.0746,-0.0652,0.0050,0.099
2.133026,0.0499,-0.0386,-0.1638,0.176
2.146722,0.1047,0.0195,-0.1001,0.146
2.164258,0.1269,0.0061,-0.1144,0.171
2.176239,0.0860,0.0128,-0.0497,0.100
2.188588,0.0416,-0.0141,0.0019,0.044
2.205473,0.0117,-0.0229,0.0113,0.028
2.221199,0.0344,-0.0261,0.0594,0.073
2.234000,0.0714,-0.0437,0.1125,0.140
2.248314,0.0414,-0.0627,0.0951,0.121
2.262377,0.0116,-0.0594,-0.0351,0.070
2.286677,0.0195,-0.0193,-0.1290,0.132
2.295216,0.1026,0.0326,-0.1184,0.160
2.307442,0.1994,0.0517,-0.0952,0.227
2.323547,0.1910,0.0191,-0.0452,0.197
2.337401,0.1115,-0.0087,-0.0068,0.112
2.348825,0.0900,-0.0593,0.1041,0.150
2.366356,0.0491,-0.0778,0.1689,0.192
2.383643,0.0284,-0.0796,0.1074,0.137
2.395025,0.0605,-0.0866,-0.0297,0.110
2.408690,0.0922,-0.0358,-0.0959,0.138
2.424590,0.1192,0.0264,0.0180,0.123
2.437215,0.1316,0.0081,0.1180,0.177
2.453094,0.1266,-0.0411,0.0458,0.141
2.466715,0.1353,-0.0650,0.0458,0.157
2.485173,0.0869,-0.0470,-0.0225,0.101
2.497091,0.0676,0.0143,-0.0530,0.087
2.509758,0.0672,0.0293,-0.0024,0.073
2.527342,0.1064,0.0097,-0.0661,0.126
2.540807,0.1264,-0.0230,-0.0590,0.141
2.552967,0.1371,-0.0322,-0.0420,0.147
2.568152,0.0998,-0.0211,0.0355,0.108
2.590033,0.0776,-0.0145,0.0837,0.115
2.598368,0.0604,-0.0701,0.0887,0.128
2.614470,0.0482,-0.1217,0.1091,0.170
2.626202,0.0407,-0.1210,0.0772,0.149
2.643450,0.0668,-0.0441,0.1272,0.150
2.657312,0.1218,-0.0068,0.0355,0.127
2.668948,0.1290,0.0066,-0.0661,0.145
2.685318,0.0931,-0.0172,-0.0726,0.119
2.699448,0.0667,-0.0447,-0.0604,0.100
2.714726,0.0830,-0.0578,0.0324,0.106
2.728334,0.0511,-0.0335,-0.0128,0.062
2.742716,0.0201,-0.0207,-0.1780,0.180
2.757366,0.0173,0.0138,-0.2641,0.265
2.771351,0.0766,0.0994,-0.2213,0.254
2.784740,0.1419,0.1767,-0.2256,0.320
2.800549,0.2174,0.1990,-0.1991,0.356
2.815059,0.2353,0.1515,-0.1481,0.317
2.827737,0.2582,0.0777,-0.1145,0.293
2.843820,0.2724,-0.0377,-0.2113,0.347
2.859884,0.2190,-0.0897,0.1224,0.266
2.873626,0.1357,-0.1403,0.5597,0.593
2.889299,0.0100,-0.1580,0.5221,0.546
2.902753,-0.0257,-0.1350,0.4503,0.471
2.918608,-0.0280,-0.2078,0.4202,0.470
2.932456,-0.0276,-0.1874,0.4320,0.472
2.944960,0.0108,-0.1593,0.4730,0.499
2.961393,0.0634,-0.0848,0.2051,0.231
2.976544,0.1069,0.0183,-0.2820,0.302
2.988616,0.0843,0.1126,-0.5332,0.551
3.004333,-0.0252,0.1384,-0.5574,0.575
3.020396,-0.0860,0.1104,-0.4316,0.454
3.032269,-0.0953,0.0933,-0.2596,0.292
3.049834,-0.0755,0.0388,-0.0879,0.122
3.061203,-0.1083,-0.0263,0.0857,0.141
3.075985,-0.1171,-0.0845,0.0802,0.165
3.093639,-0.1551,-0.0732,0.0572,0.181
3.105852,-0.1323,-0.0662,0.1026,0.180
3.122093,-0.0298,-0.0743,0.1163,0.141
3.135086,0.0569,-0.0785,0.1320,0.164
3.148611,0.1330,-0.0701,0.0917,0.176
3.164680,0.1709,-0.0387,-0.0007,0.175
3.183084,0.1796,-0.0021,-0.0657,0.191
3.192749,0.1787,0.0166,-0.0593,0.189
3.208797,0.1590,-0.0029,-0.0485,0.166
3.223467,0.1293,-0.0313,-0.0035,0.133
3.235892,0.1337,-0.0650,0.0472,0.156
3.251443,0.1628,-0.0520,0.0074,0.171
3.266326,0.1729,-0.0399,-0.0325,0.180
3.283718,0.1552,-0.0368,-0.0287,0.162
3.295273,0.1572,-0.0385,-0.0438,0.168
3.307530,0.1504,-0.0258,-0.0496,0.160
3.324027,0.0957,-0.0084,-0.0503,0.108
3.339894,0.0608,-0.0008,-0.0602,0.086
3.352042,0.0356,0.0014,-0.0756,0.084
3.367890,0.0584,0.0145,-0.0426,0.074
3.384895,0.0433,-0.0021,-0.0322,0.054
3.397266,0.0480,-0.0098,-0.0594,0.077
3.411251,0.0629,-0.0277,-0.0906,0.114
3.426765,0.0674,-0.0216,-0.0929,0.117
3.441637,0.0618,-0.0012,-0.0617,0.087
3.456461,0.0572,-0.0098,-0.0586,0.082
3.469061,0.0816,-0.0041,-0.0412,0.091
3.483369,0.1061,-0.0405,-0.0046,0.114
3.499161,0.1115,-0.0479,0.0117,0.122
3.510848,0.1323,-0.0654,0.0236,0.149
3.533673,0.1328,-0.0397,0.0056,0.139
3.542815,0.1197,-0.0238,0.0076,0.122
3.559826,0.0876,-0.0089,-0.0137,0.089
3.570954,0.0696,0.0019,-0.0308,0.076
3.584906,0.0753,-0.0110,-0.0335,0.083
3.602139,0.0571,-0.0193,-0.0943,0.112
3.614402,0.0729,-0.0029,-0.0980,0.122
3.626874,0.0646,0.0091,-0.0688,0.095
3.644774,0.0276,0.0075,-0.0207,0.035
3.659458,0.0239,0.0007,0.0327,0.041
3.671896,0.0199,0.0071,0.0442,0.049
3.689819,0.0066,-0.0074,-0.0869,0.087
3.701440,0.0177,-0.0298,-0.1089,0.114
3.717346,-0.0233,-0.0509,-0.0170,0.059
3.729549,0.0026,-0.0482,0.0133,0.050
3.744409,0.0763,-0.0269,-0.0049,0.081
3.760758,0.1311,0.0096,-0.0299,0.135
3.774887,0.1333,0.0279,0.0014,0.136
3.789166,0.0689,0.0232,0.0704,0.101
3.806902,0.0377,-0.0401,0.0835,0.100
3.818393,0.0583,-0.0712,0.0320,0.097
3.831716,0.0545,-0.0318,-0.0339,0.072
3.845993,0.0554,-0.0059,-0.0420,0.070
3.861809,0.0659,0.0249,-0.0512,0.087
3.876488,0.0810,0.0369,-0.0505,0.102
3.892153,0.0678,0.0065,0.0079,0.069
3.906272,0.0594,-0.0298,0.0236,0.071
3.921387,0.0464,-0.0475,0.0019,0.066
3.935181,0.0141,-0.0614,-0.0432,0.076
3.947459,-0.0088,-0.0548,-0.0069,0.056
3.966006,-0.0324,-0.0156,0.0586,0.069
3.985209,-0.0270,0.0035,0.0628,0.068
3.990262,0.0119,-0.0029,-0.0163,0.020
4.007930,0.0402,-0.0043,-0.0867,0.096
4.023879,0.0779,0.0158,-0.0730,0.108
4.035045,0.0868,0.0131,0.0155,0.089
4.051066,0.1055,0.0153,0.0605,0.123
4.064412,0.1245,-0.0268,0.0498,0.137
4.084128,0.1248,-0.0457,0.0205,0.134
4.094748,0.1157,-0.0608,-0.0223,0.133
4.108263,0.0875,-0.0371,-0.0362,0.102
4.123621,0.0500,0.0003,-0.0554,0.075
4.139072,0.0172,0.0232,-0.0839,0.089
4.150708,0.0033,0.0277,-0.0834,0.088
4.167103,0.0468,0.0045,-0.0447,0.065
4.185454,0.0521,-0.0235,-0.0115,0.058
4.195296,0.0574,-0.0184,0.0364,0.070
4.209584,0.0291,-0.0417,0.0603,0.079
4.226165,0.0342,-0.0518,0.0612,0.087
4.242071,0.0489,-0.0201,0.0101,0.054
4.255121,0.0635,-0.0031,-0.0638,0.090
4.267526,0.0546,0.0004,-0.0566,0.079
4.285339,0.0361,0.0043,-0.0456,0.058
4.296879,0.0222,-0.0107,-0.0396,0.047
4.311065,0.0319,-0.0064,-0.0436,0.054
4.326972,0.0461,-0.0067,-0.0431,0.063
4.342804,0.0603,-0.0165,-0.0235,0.067
4.356871,0.0552,-0.0359,-0.0129,0.067
4.368400,0.0551,-0.0221,-0.0222,0.063
4.384538,0.0597,-0.0083,0.0027,0.060
4.399407,0.0547,0.0006,-0.0343,0.065
4.414219,0.0448,0.0047,-0.0570,0.073
4.427320,0.0541,0.0036,-0.0657,0.085
4.443497,0.0490,-0.0152,-0.0509,0.072
4.458364,0.0249,-0.0057,-0.0125,0.028
4.471072,0.0533,-0.0011,-0.0121,0.055
4.487672,0.0437,-0.0013,-0.0501,0.066
4.502981,0.0581,-0.0012,-0.0264,0.064
4.516918,0.0389,-0.0290,0.0305,0.057
4.529260,0.0289,-0.0576,0.0739,0.098
4.544175,0.0425,-0.0574,0.0843,0.110
4.559707,0.0560,-0.0251,0.1097,0.126
4.574636,0.0742,0.0051,-0.0542,0.092
4.589974,0.0832,0.0357,-0.1953,0.215
4.601673,0.0160,0.0213,-0.0984,0.102
4.616941,-0.0033,0.0065,-0.0738,0.074
4.629600,0.0157,0.0016,-0.0832,0.085
4.644356,0.0683,0.0125,-0.0460,0.083
4.661238,0.0782,-0.0239,0.0144,0.083
4.676058,0.0550,-0.0276,0.0460,0.077
4.692149,0.0319,-0.0560,0.0789,0.102
4.705069,0.0566,-0.0384,-0.0246,0.073
4.719689,0.0858,0.0117,-0.1473,0.171
4.733521,0.0812,0.0305,-0.1802,0.200
4.748068,0.1008,0.0084,-0.1202,0.157
4.763988,0.1152,-0.0224,-0.0562,0.130
4.777499,0.0865,-0.0387,-0.0028,0.095
4.790499,0.0721,-0.0417,0.0131,0.084
4.808080,0.0386,-0.0357,0.0254,0.058
4.821629,0.0240,-0.0213,-0.0044,0.032
4.834333,0.0094,-0.0160,-0.0244,0.031
4.849299,-0.0204,0.0133,0.0219,0.033
4.863153,-0.0261,0.0328,0.0500,0.065
4.878778,-0.0073,0.0043,0.0362,0.037
4.901456,-0.0033,-0.0308,-0.0333,0.045
4.907321,0.0006,-0.0131,-0.1328,0.133
4.923098,-0.0190,-0.0321,-0.0894,0.097
4.938814,-0.0193,-0.0256,-0.0052,0.033
4.950256,-0.0060,-0.0188,0.0880,0.090
4.964927,0.0507,-0.0027,0.0957,0.108
4.979809,0.0934,-0.0501,0.0571,0.120
4.993615,0.1022,-0.0409,0.0088,0.110
5.011580,0.0827,-0.0216,-0.0107,0.086
5.024602,0.0679,0.0027,-0.0070,0.068
5.039375,0.0485,-0.0024,-0.0315,0.058
5.053776,0.0675,0.0075,-0.0561,0.088
5.066522,0.0961,-0.0162,-0.0804,0.126
5.084261,0.1246,-0.0113,-0.0895,0.154
5.097418,0.1053,0.0076,-0.1040,0.148
5.109613,0.0865,0.0163,-0.1083,0.140
5.128279,0.0633,0.0162,-0.0891,0.111
5.141484,0.0543,0.0268,-0.0515,0.079
5.156224,0.0454,-0.0005,0.0141,0.048
5.168713,0.0507,-0.0371,0.0750,0.098
5.183314,0.0413,-0.0648,0.1068,0.132
5.198392,0.0222,-0.0548,0.0868,0.105
5.211031,0.0032,-0.0409,0.0237,0.047
5.226445,-0.0108,0.0063,-0.0336,0.036
5.241901,-0.0203,0.0298,-0.0631,0.073
5.258950,-0.0106,0.0495,-0.0736,0.089
5.270367,0.0039,0.0457,-0.0610,0.076
5.286333,0.0040,-0.0100,-0.0290,0.031
5.302432,-0.0151,-0.0464,0.0070,0.049
5.312990,0.0040,-0.0502,0.0250,0.056
5.329540,0.0323,-0.0399,-0.0000,0.051
5.344554,0.0604,-0.0250,-0.0106,0.066
5.358724,0.0693,-0.0198,-0.0258,0.077
5.372823,0.0589,-0.0097,-0.0319,0.068
5.386843,0.0625,-0.0189,0.0111,0.066
5.401742,0.0568,-0.0093,0.0015,0.058
5.416689,0.0798,-0.0053,-0.1185,0.143
5.429460,0.0744,0.0144,-0.1100,0.134
5.446847,0.0360,-0.0168,0.0611,0.073
5.459202,0.0308,-0.0499,0.0890,0.107
5.473460,0.0973,-0.0315,-0.0256,0.105
5.489853,0.1445,0.0498,-0.0940,0.179
5.503682,0.1349,0.0699,-0.1351,0.203
5.518907,0.0402,0.0206,-0.0681,0.082
5.532313,0.0127,-0.0471,0.0328,0.059
5.547056,0.0278,-0.0839,-0.0075,0.089
5.563364,0.0620,-0.0551,-0.0716,0.110
