time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.818567,-0.1110,0.9567,0.7331,1.210
1.833729,-1.3010,2.4390,1.0486,2.957
1.850022,-1.8690,4.2859,0.1590,4.678
1.864339,-1.3880,4.8264,-1.8242,5.343
1.881838,-0.3959,2.8540,-2.6634,3.924
1.893360,0.0594,0.4804,-1.4410,1.520
1.908662,-0.1182,-0.6016,0.5915,0.852
1.924619,-0.4614,-0.9457,1.9513,2.217
1.934608,-0.4507,-1.1953,2.3251,2.653
1.951269,-0.4678,-1.1848,1.8002,2.205
1.964842,-0.5553,-0.9381,0.8837,1.403
1.978145,-0.8849,-0.9611,0.4121,1.370
1.992604,-1.0609,-1.1581,0.1635,1.579
2.008004,-0.9074,-1.2527,0.0378,1.547
2.022944,-0.5953,-1.0899,-0.0579,1.243
2.038872,-0.3068,-0.9033,-0.2371,0.983
2.053147,-0.0687,-1.1607,-0.3671,1.219
2.068413,-0.0026,-1.6599,-0.1744,1.669
2.081356,0.0338,-2.1700,0.5471,2.238
2.094390,-0.1544,-2.3918,1.1079,2.640
2.110224,-0.4333,-2.2724,1.3107,2.659
2.124467,-0.6607,-2.1036,1.1364,2.480
2.138611,-0.8083,-1.9690,0.8659,2.298
2.155750,-0.8303,-1.9518,0.7725,2.257
2.167091,-0.8224,-1.8771,0.7054,2.167
2.184194,-0.7081,-1.8447,0.6374,2.076
2.197705,-0.5546,-1.6554,0.4462,1.802
2.211039,-0.5111,-1.4360,0.5193,1.610
2.227590,-0.7595,-1.2242,0.8928,1.695
2.241330,-0.9293,-1.0176,1.2275,1.845
2.254799,-0.8319,-0.6616,1.5484,1.878
2.271487,-0.9911,0.5710,1.8197,2.149
2.284266,-0.8527,1.7404,0.5833,2.024
2.297136,-0.1786,2.8654,-1.0740,3.065
2.314340,0.6246,3.4253,-2.4100,4.234
2.328250,0.2267,3.0135,-4.4602,5.388
2.342132,-0.1217,1.4132,-4.7289,4.937
2.358000,0.3977,0.5520,-2.2058,2.308
2.371412,0.8899,1.4126,0.4840,1.738
2.387968,0.9737,3.0137,2.1544,3.830
2.402288,0.5883,4.0234,2.0942,4.574
2.414134,0.3511,4.3649,0.5457,4.413
2.429351,0.3228,4.2493,-0.9761,4.372
