time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.822992,0.3602,2.5893,1.7270,3.133
1.836042,-0.3212,3.1622,1.3207,3.442
1.852308,-1.2663,4.0275,0.2777,4.231
1.865047,-1.7863,4.4297,-1.2274,4.931
1.878156,-1.3540,4.0351,-1.7001,4.583
1.896950,-0.3932,3.4261,-0.8261,3.546
1.908349,0.2700,2.1572,-0.0248,2.174
1.921736,0.2061,0.2324,-0.1847,0.361
1.938588,0.0557,-1.7286,-0.4231,1.781
1.953667,-0.2279,-3.0048,-0.6103,3.075
1.965385,-0.4346,-3.0721,-1.0500,3.276
1.982605,-1.1768,-1.0432,-2.2154,2.717
1.997623,-1.1064,1.9617,-5.4961,5.940
2.012846,0.3836,2.6316,-5.3261,5.953
2.025301,1.4790,1.6740,-0.6710,2.332
2.038645,1.3954,0.8399,1.9255,2.522
2.054968,0.3704,0.6572,1.5183,1.695
2.069550,-0.5498,0.7967,0.4272,1.058
2.081818,-0.5367,0.7171,-0.3574,0.964
2.098668,-0.2548,0.6129,-0.5837,0.884
2.111628,0.1089,0.3379,-0.7577,0.837
2.125232,0.5120,-0.1487,-0.3598,0.643
2.141552,0.5112,-0.4263,0.2245,0.702
2.156283,0.4567,-0.9231,0.9214,1.382
2.169394,0.0819,-1.4482,1.0728,1.804
2.185875,-0.4751,-1.8662,0.9336,2.140
2.197977,-0.4225,-2.2199,0.6762,2.359
2.214830,-0.1331,-2.5629,0.4809,2.611
2.226320,0.3694,-2.8325,0.3543,2.878
2.241470,0.6787,-2.7781,0.2586,2.872
2.258213,0.6741,-2.4610,0.3654,2.578
2.272657,0.5573,-1.8202,0.3524,1.936
2.285670,0.3562,-0.8749,0.2293,0.972
2.300499,0.4975,0.0335,-0.4420,0.666
2.317368,0.7269,0.3815,-1.1816,1.439
2.328306,0.8302,0.0171,-1.1182,1.393
2.344547,0.8811,-0.4255,-0.4743,1.087
2.357399,0.6591,-0.5612,-0.0368,0.866
2.373959,0.4946,-0.6271,0.7443,1.092
2.389725,0.3858,-0.6845,1.3232,1.539
2.401834,0.2838,-0.5831,1.1465,1.317
2.418057,0.2446,-0.3814,0.7489,0.875
2.432261,0.3859,-0.0971,0.5181,0.653
2.444959,0.5902,0.2653,0.4813,0.806
2.459292,0.7570,0.7431,0.6930,1.267
2.474206,0.7239,1.3288,0.8772,1.749
2.498289,0.6596,1.6743,0.8991,2.012
2.507369,0.5063,1.7708,0.9518,2.073
2.519113,0.4263,1.8390,0.9612,2.118
2.533002,0.0291,2.1201,0.9216,2.312
2.546847,-0.3132,2.4409,0.5222,2.516
2.559926,-0.5121,2.6196,0.2370,2.680
2.575743,-0.4170,2.4864,-0.0973,2.523
2.595924,-0.5797,2.0213,-1.0596,2.355
2.605665,-1.1420,1.3706,-2.1462,2.791
2.622362,-1.3298,0.6082,-2.3935,2.805
2.635376,-1.1975,-0.3669,-1.6409,2.064
2.650140,-0.8985,-0.9112,-0.0141,1.280
2.662463,-0.3355,-0.2061,-0.0608,0.398
2.676216,-0.0945,1.0270,-0.9095,1.375
2.696585,-0.6412,1.6602,-1.2611,2.181
2.708027,-1.0587,1.5014,-1.6290,2.455
2.720632,-0.7200,0.8149,-1.2391,1.649
2.736462,-0.1821,0.1200,-0.6142,0.652
2.752080,0.1204,-0.4364,0.1746,0.485
2.764533,0.3008,-0.8842,0.7243,1.182
2.781359,0.0687,-1.2840,0.6213,1.428
2.799841,-0.0399,-1.6754,0.1428,1.682
2.810272,-0.1304,-1.9764,0.2667,1.999
2.823761,-0.0297,-2.1940,0.5821,2.270
2.837598,-0.2644,-2.3772,0.4254,2.429
2.854308,-0.5299,-2.6011,0.5006,2.701
2.868633,-1.1479,-2.8998,0.8778,3.240
2.880953,-1.2895,-3.1222,0.9627,3.512
2.895900,-1.4332,-3.1440,0.8541,3.559
2.910720,-1.3555,-2.9743,0.6109,3.325
2.924470,-1.0305,-2.6941,0.3890,2.911
2.940455,-0.4377,-2.4595,0.3226,2.519
2.953298,-0.1352,-2.1961,0.4850,2.253
2.969121,0.1385,-1.8703,0.7760,2.030
2.983681,0.2998,-1.3893,0.7393,1.602
